,Users,Game_name,user_rating
1551,/user/mainstreamkid,Shadow of the Colossus,8
1552,/user/SamComedian,Shadow of the Colossus,8
1554,/user/jgmj921,Shadow of the Colossus,7
1557,/user/AgentAnderson,Shadow of the Colossus,3
1558,/user/Markos-,Shadow of the Colossus,7
1559,/user/ZaPaAl,Shadow of the Colossus,5
1560,/user/mijan,Shadow of the Colossus,7
1561,/user/Klotz,Shadow of the Colossus,6
1565,/user/rosnk30,Shadow of the Colossus,7
1566,/user/Sky-Line___,Shadow of the Colossus,6
1567,/user/MatadorVoraz,Shadow of the Colossus,6
1569,/user/maddiplomat,Shadow of the Colossus,0
1570,/user/Lewis-Angelo,Shadow of the Colossus,6
1573,/user/wangweixun,Shadow of the Colossus,7
1574,/user/brendo214,Shadow of the Colossus,8
1575,/user/eded9999,Shadow of the Colossus,7
1576,/user/ERRORCODE-20,Shadow of the Colossus,7
1577,/user/D3NGZ,Shadow of the Colossus,6
1578,/user/jhollis977,Shadow of the Colossus,9
1579,/user/alexslork,Shadow of the Colossus,7
1580,/user/SplitMind,Shadow of the Colossus,3
1581,/user/quanta,Shadow of the Colossus,0
1582,/user/mrkp,Shadow of the Colossus,5
1583,/user/vashkor,The Witcher 3: Wild Hunt - Blood and Wine,10
1587,/user/CiphirSol,The Witcher 3: Wild Hunt - Blood and Wine,10
1593,/user/Ecresis,The Witcher 3: Wild Hunt - Blood and Wine,10
1594,/user/Thilus,The Witcher 3: Wild Hunt - Blood and Wine,10
1596,/user/Dreizehn,The Witcher 3: Wild Hunt - Blood and Wine,10
1600,/user/Fostero1993,The Witcher 3: Wild Hunt - Blood and Wine,10
1602,/user/DeusXCom,The Witcher 3: Wild Hunt - Blood and Wine,10
1603,/user/SuperkenGaming,The Witcher 3: Wild Hunt - Blood and Wine,9
1604,/user/bryan016,The Witcher 3: Wild Hunt - Blood and Wine,10
1605,/user/BreakingAwesome,The Witcher 3: Wild Hunt - Blood and Wine,10
1611,/user/Chris-Krollz,The Witcher 3: Wild Hunt - Blood and Wine,10
1612,/user/robinzvak,The Witcher 3: Wild Hunt - Blood and Wine,8
1613,/user/Gwyndolin,The Witcher 3: Wild Hunt - Blood and Wine,10
1615,/user/silencer,The Witcher 3: Wild Hunt - Blood and Wine,8
1616,/user/iddqd4,The Witcher 3: Wild Hunt - Blood and Wine,10
1617,/user/FogCityRoller,The Witcher 3: Wild Hunt - Blood and Wine,10
1618,/user/Chowjust,The Witcher 3: Wild Hunt - Blood and Wine,10
